X,y
"XXXXXXXXX
X..O....X
X.P.....X
X..XXXO.X
X.......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.....P.X
X..XXXO.X
X......OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
XP.O....X
X.......X
X..XXX..X
XO.....OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.P.....X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.P.....X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXX..X
X....P.OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XOP.....X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X..P....X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X.......X
X.....P.X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
XP......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO...P.OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XOP....OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X......OX
XP......X
XXXXXXXXX",R
"XXXXXXXXX
XP.O....X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
XO......X
X..P....X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
XP......X
X..XXXO.X
X.......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X......OX
X..P....X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X.......X
X..P....X
XXXXXXXXX",U
"XXXXXXXXX
X..O..P.X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X......OX
XP......X
XXXXXXXXX",R
"XXXXXXXXX
X..O.P..X
X.......X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X.....P.X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.P...OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X.......X
XP.XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
X......PX
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X...P...X
X..XXX..X
XO.....OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
X....P.OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..OP...X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X.......X
X......PX
X..XXX..X
X......OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O...PX
X.......X
X..XXXO.X
X......OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO...P..X
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XOP....OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X.......X
X.....P.X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.....P.X
X..XXX..X
X......OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XOP.....X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
X......OX
X.....P.X
XXXXXXXXX",U
"XXXXXXXXX
X.....P.X
X.......X
X..XXXO.X
X......OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X.P....OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
XP.O....X
X.......X
X..XXX..X
X......OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X.......X
X.P.....X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
X......OX
XP......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
X...P...X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
XP......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X....P..X
X..XXXO.X
X......OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO.P...OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X..P....X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X...P...X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO......X
X......PX
XXXXXXXXX",U
"XXXXXXXXX
XP.O....X
X.......X
X..XXX..X
XO.....OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X.P.....X
X.......X
X..XXX..X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
X.PXXX..X
X.......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
X......OX
X..P....X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
X.......X
X......PX
XXXXXXXXX",U
"XXXXXXXXX
X.......X
XP......X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXX..X
XO...P.OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X......PX
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.PO....X
X.......X
X..XXX..X
X......OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..OP...X
X.......X
X..XXX..X
X.......X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
X...P...X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
X......OX
XP......X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO......X
X...P...X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
X..P....X
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXX.PX
X......OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X......OX
X.....P.X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO......X
X.P.....X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
X.......X
X.....P.X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X...P...X
X..XXX..X
X......OX
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X.P.....X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
XP.O....X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.....P.X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXX..X
XO......X
X...P...X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
X......OX
X.....P.X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XOP....OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
X...P..OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X.......X
X...P...X
X..XXX..X
XO......X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X....P..X
X..XXX..X
XO......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X.PO....X
X.......X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
X.......X
X.P.....X
XXXXXXXXX",U
"XXXXXXXXX
X..O.P..X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X.......X
X.....P.X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
X..P....X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
X..P....X
XXXXXXXXX",U
"XXXXXXXXX
X..O...PX
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
X.......X
X....P..X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
X.....P.X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO.....OX
X......PX
XXXXXXXXX",U
"XXXXXXXXX
X.PO....X
X.......X
X..XXX..X
XO......X
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.P.....X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.....P.X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.P.....X
X..XXXO.X
X.......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO......X
X...P...X
XXXXXXXXX",U
"XXXXXXXXX
X..O.P..X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X......PX
X..XXX..X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXX..X
X.P....OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X..P....X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O.P..X
X.......X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X.P.....X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
X..P...OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
X.......X
X...P...X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO.....OX
X..P....X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
XO..P..OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X.......X
X.PXXX..X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
XP.XXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X...P...X
X..XXX..X
X......OX
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O.P..X
X.......X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
XP......X
XXXXXXXXX",U
"XXXXXXXXX
XP.O....X
X.......X
X..XXX..X
XO......X
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO......X
X.P.....X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X......PX
X..XXX..X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO..P...X
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X......OX
X.P.....X
XXXXXXXXX",R
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO......X
X.P.....X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X....P..X
X..XXXO.X
X......OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O...PX
X.......X
X..XXXO.X
X.......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.P.....X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X....P..X
X..XXXO.X
X.......X
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
X...P...X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
XP......X
X..XXX..X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O.P..X
X.......X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO......X
XP......X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXX..X
XO......X
X..P....X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X......PX
X..XXX..X
X......OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X......PX
X..XXXO.X
X......OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.P.....X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
X...P...X
XXXXXXXXX",U
"XXXXXXXXX
X....P..X
X.......X
X..XXXO.X
X.......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.P.....X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O..P.X
X.......X
X..XXX..X
XO......X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X...P...X
X.......X
X..XXX..X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
X..P....X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
X......PX
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
XO..P..OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
XP.XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X......PX
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
XP......X
X.......X
X..XXX..X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
XP.O....X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X......PX
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.....P.X
X.......X
X..XXX..X
XO......X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X.......X
X.......X
X..XXX..X
XO......X
XP......X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X....P..X
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO.....OX
XP......X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X.......X
XP......X
XXXXXXXXX",R
"XXXXXXXXX
X.......X
X.......X
X..XXX..X
XO.....OX
X....P..X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
XP.XXXO.X
X......OX
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X......PX
X..XXX..X
X.......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O.P..X
X.......X
X..XXXO.X
X......OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X...P...X
X.......X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
X......PX
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXX..X
XO.....OX
X.....P.X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXOPX
XO......X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X.......X
XP.XXX..X
X......OX
X.......X
XXXXXXXXX",U
"XXXXXXXXX
XP......X
X.......X
X..XXX..X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO..P...X
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X.......X
X.......X
X..XXX..X
X..P...OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
X......OX
X......PX
XXXXXXXXX",U
"XXXXXXXXX
X..O..P.X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
X.P....OX
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXX.PX
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X....P..X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X......PX
X.......X
X..XXXO.X
X.......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.....P.X
X..XXX..X
XO......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO..P..OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
X....P..X
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X.......X
X.....P.X
X..XXXO.X
X.......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO.....OX
X...P...X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X...P...X
X..XXX..X
XO.....OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
X...P...X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.P....X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X......PX
X.......X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X.P.....X
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X....P..X
X..XXX..X
X.......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..OP...X
X.......X
X..XXX..X
XO......X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
X......OX
X....P..X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXX..X
X....P.OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X...P...X
X.......X
X..XXX..X
X......OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.....P.X
X..XXXO.X
X......OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXX..X
XO......X
X....P..X
XXXXXXXXX",L
"XXXXXXXXX
X.......X
X.......X
X..XXX..X
X......OX
X.....P.X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO.....OX
X....P..X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X....P..X
X..XXX..X
XO.....OX
X.......X
XXXXXXXXX",U
"XXXXXXXXX
XP......X
X.......X
X..XXXO.X
X.......X
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X.......X
X.......X
X..XXX..X
XO.....OX
X......PX
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X....P..X
X..XXX..X
X.......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.P...OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X.P.....X
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
X..P....X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X......PX
X..XXX..X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
XP.XXX..X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X....P..X
X.......X
X..XXX..X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
XP......X
X.......X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXX..X
XO..P...X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X...P...X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.....P.X
X..XXXO.X
X.......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.....P.X
X..XXX..X
X......OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO..P...X
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XOP....OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X.......X
X.......X
X..XXX..X
XO....P.X
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X.PO....X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X.PO....X
X.......X
X..XXXO.X
X......OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO.P...OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X......PX
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
XP.O....X
X.......X
X..XXXO.X
X......OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X....P..X
X..XXXO.X
X......OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X......PX
X.......X
X..XXXO.X
X.......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO......X
X....P..X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.P.....X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
X.......X
XP......X
XXXXXXXXX",U
"XXXXXXXXX
X..O.P..X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X.......X
XP......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
X...P...X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO.....OX
XP......X
XXXXXXXXX",U
"XXXXXXXXX
X..O..P.X
X.......X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X.......X
X....P..X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
X...P...X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXX.PX
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X......PX
X..XXX..X
X......OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
XP.O....X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
X.......X
X.....P.X
XXXXXXXXX",U
"XXXXXXXXX
X..O..P.X
X.......X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O...PX
X.......X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
XO.....OX
XP......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
X......OX
X.P.....X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X.PXXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
XP......X
X.......X
X..XXXO.X
X......OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
XO.....OX
X......PX
XXXXXXXXX",U
"XXXXXXXXX
X.P.....X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X......PX
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
X..XXXOPX
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
XO......X
X.....P.X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
X.P....OX
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
XP......X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O.P..X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X...P...X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
X.PXXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X......PX
X..XXX..X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
XP......X
X..XXX..X
X.......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXX.PX
X.......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
XO.....OX
X..P....X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X......PX
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X......PX
X..XXX..X
X.......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X.......X
X......PX
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.P.....X
X..XXX..X
XO.....OX
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.......X
X..XXX..X
XO.....OX
X....P..X
XXXXXXXXX",U
"XXXXXXXXX
XP.O....X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X.......X
X.P.....X
X..XXXO.X
X......OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X....P..X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",R
"XXXXXXXXX
XP.O....X
X.......X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X.....P.X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.....P.X
X..XXX..X
X.......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X...P...X
X.......X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X...P...X
X.......X
X..XXXO.X
X.......X
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X..O....X
X.......X
X..XXXO.X
X.....P.X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X.P.....X
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X..O....X
X......PX
X..XXXO.X
XO.....OX
X.......X
XXXXXXXXX",D
"XXXXXXXXX
X.......X
X.......X
X..XXXOPX
XO.....OX
X.......X
XXXXXXXXX",L
"XXXXXXXXX
X..O....X
X.P.....X
X..XXXO.X
XO......X
X.......X
XXXXXXXXX",U
"XXXXXXXXX
X.......X
X.......X
X..XXXO.X
X.......X
X.P.....X
XXXXXXXXX",R
"XXXXXXXXX
X..O....X
X......PX
X..XXXO.X
X.......X
X.......X
XXXXXXXXX",D
